,,,,AKA Yt,,,Yt/CMA,,,,,,,
t,Province,Year,No_Month,avg_unemployment_rate_month,MA(12),CMA(12),"St,It",,,,,,Month,St
530,Canada,2020,2,7.277777,11.33425875,12.18873406,0.597090474,,,,,,,
531,Canada,2020,3,11.122222,11.66759208,12.54074024,0.8868872,,,,,,,
532,Canada,2020,4,17.644444,12.01759208,12.81635753,1.376712842,,,,,,,
533,Canada,2020,5,18.688888,12.31018467,12.93518469,1.444810294,,,,,,,
534,Canada,2020,6,16.688888,12.67685133,12.89459829,1.2942542,,,,,,,
535,Canada,2020,7,14.588888,13.12592542,12.69799338,1.148912869,,,,,,,
536,Canada,2020,8,13.566666,13.44629583,12.34783908,1.09870771,,,,,,,
537,Canada,2020,9,11.566666,13.32129583,11.87515392,0.974022407,,,,,,,
538,Canada,2020,10,11.511111,12.73055508,11.37901196,1.011609008,,,,,,,
539,Canada,2020,11,11.044444,12.06666625,10.92669715,1.010776069,,,,,,,
540,Canada,2020,12,11.611111,11.49722183,10.53611074,1.102030084,,,,,,,
541,Canada,2021,1,12.2,11.02499967,10.18317863,1.198054208,,,,,,,
542,Canada,2021,2,11.122222,10.61018483,9.856481069,1.128417122,,,,,,,
543,Canada,2021,3,9.622222,10.34444408,9.540894625,1.008524083,,,,,,,
544,Canada,2021,4,10.555555,10.01666625,9.226388431,1.144061415,,,,,,,
545,Canada,2021,5,10.722222,9.72314775,8.913425458,1.202929452,,,,,,,
546,Canada,2021,6,9.855555,9.379629167,8.591203222,1.147168184,,,,,,,
547,Canada,2021,7,8.922222,9.064814333,8.277622972,1.07787248,,,,,,,
548,Canada,2021,8,8.588888,8.716666167,7.978703222,1.076476686,,,,,,,
549,Canada,2021,9,8.377777,8.457406917,7.709413111,1.086694523,,,,,,,
550,Canada,2021,10,7.577777,8.138888417,7.459413125,1.015867719,,,,,,,
551,Canada,2021,11,7.522222,7.789814333,7.252468694,1.037194687,,,,,,,
552,Canada,2021,12,7.488888,7.498147667,7.091048958,1.056104399,,,,,,,
553,Canada,2022,1,8.422222,7.271295833,6.962499597,1.209654935,,,,,,,
554,Canada,2022,2,6.944444,7.1009255,6.842900847,1.014839197,,,,,,,
555,Canada,2022,3,6.511111,6.957407,,,,,,,,,
556,Canada,2022,4,6.733333,6.897221833,,,,,,,,,
557,Canada,2022,5,6.533333,6.821295917,,,,,,,,,
558,Canada,2022,6,6.355555,6.7268515,,,,,,,,,
559,Canada,2022,7,6.2,6.553703333,,,,,,,,,
560,Canada,2022,8,6.544444,,,,,,,,,,
561,Canada,2022,9,6.655555,,,,,,,,,,
562,Canada,2022,10,6.855555,,,,,,,,,,
563,Canada,2022,11,6.611111,,,,,,,,,,
564,Canada,2022,12,6.355555,,,,,,,,,,
565,Canada,2023,1,6.344444,,,,,,,,,,
